"PAYMENTTOKENID","MERCHANTID","CURRENCYTYPE","AMOUNT","INVOICEID","TRANSACTIONID","DESCRIPTION","PAYMENTOPTION","PAYMENTOPTIONDESC","INITIALURL","ACCTYPE","AUTHRESULT","EXPIRYTIME","IPADDRESS","USERID","TRANSACTIONRESULT","AMOUNTDEDUCTED","TRANSACTIONTIME","ERRORMESSAGE","CALLBACKRESULT","CLOSESTATUS","ACCOUNTNO","ACCOUNTNOOFMERCHANTORBANK","TRANSCREFNUM","FEECURRENCY","FEEAMOUNT","CREDITCURRENCYTYPE","FEETYPE","EXCHANGERATE","COREREFNO","RESERVE1","RESERVE2","TXMERCHANTACCOUNT","TXDIRECTION","IBUSERID","FAILEDREASON","MINISTERY_TYPE","MINISTERY_STATUS","MINISTERY_RESPONSE","MINISTERY_TXTIME","REVERSETX_STATUS","REVERSETX_RESPONSE"
"cpZ2Q/uvQChvJ8rKhgPOQaCzmVs=","oNd4Umpu82sn56+vbFI6z60/u+Q=","USD",23,"12","771037667","test",0,"test","",1,66,5,"192.168.0.102","",66,0,01-SEP-15,"SUCCESS","http://localhost:1234/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"BYnU1PjDobAsltmdOGU4U/1QQd0=","oNd4Umpu82sn56+vbFI6z60/u+Q=","USD",2000,"121","2076999010","",2,"","192.168.0.64",1,66,5,"192.168.0.102","name",66,0,01-SEP-15,"Not Checked","http://localhost:1234/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"fjU03rLn9GBDuUnElfVs58KOY+k=","oNd4Umpu82sn56+vbFI6z60/u+Q=","USD",20,"1","4748422881","",2,"","192.168.0.64",1,66,5,"192.168.0.102","name",66,0,02-SEP-15,"Not Checked","http://localhost:1234/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"cH0BF5lgkNZEDPbJcJD8iGnZ4ZQ=","oNd4Umpu82sn56+vbFI6z60/u+Q=","USD",1000,"12","6259952623","sss",0,"sss","",1,66,5,"192.168.0.102","",66,0,02-SEP-15,"SUCCESS","http://localhost:1234/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"yuD7vyP8EbAky482Rr/8Qr1nfzU=","oNd4Umpu82sn56+vbFI6z60/u+Q=","",0,"","","",1,"","",1,,0,"","",,0,02-SEP-15,"","",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"8EBcHwVZqOcLXOSEuUmTZg9CAa8=","oNd4Umpu82sn56+vbFI6z60/u+Q=","USD",1000,"1","5143626400","",2,"","192.168.0.64",1,66,5,"192.168.0.102","name",66,0,02-SEP-15,"Not Checked","http://localhost:1234/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"p0KXsIfOW5UUPbsn4bi3JAoG9w8=","oNd4Umpu82sn56+vbFI6z60/u+Q=","USD",2000,"121","8767103176","testn",0,"testn","",1,66,5,"192.168.0.102","",66,0,02-SEP-15,"SUCCESS","http://localhost:1234/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"RvScPHlhRmGwmKNwUsLzZCISYg0=","oNd4Umpu82sn56+vbFI6z60/u+Q=","USD",100,"100","3213931600","",2,"","192.168.0.64",1,66,5,"192.168.0.102","name",66,0,02-SEP-15,"Not Checked","http://localhost:1234/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"3/NGN4wbXdycFW8beVQHLoQ1GTo=","oNd4Umpu82sn56+vbFI6z60/u+Q=","USD",100,"1","5095127908","",2,"","192.168.0.64",1,66,5,"192.168.0.102","name",66,0,02-SEP-15,"Not Checked","http://localhost:1234/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
"XKzz12kAIQyk9TXKAgaH4po9cPE=","oNd4Umpu82sn56+vbFI6z60/u+Q=","USD",1000,"1","3371379141","",2,"","192.168.0.64",1,66,5,"192.168.0.102","name",66,0,02-SEP-15,"Not Checked","http://localhost:1234/XPAYManager/addMerchantDetails.jsp",1,"","","","",,"",,,"","","","",,"","",,,"",,,""
